#
#  spne487213cyc 17.0 Reactions link table generated on Wed Sep 25, 2013
#
RXN-12398	EC-3.2.1.23
RXN-12400	EC-3.2.1.23
RXN-12399	EC-3.2.1.23
RXN-10704	EC-4.2.1.17
3.4.11.7-RXN	EC-3.4.11.7
METHYLTHIOADENOSINE-NUCLEOSIDASE-RXN	EC-3.2.2.16
RXN-11811	
RXN-12610	EC-2.5.1.3
NANE-RXN	EC-5.1.3.9
AMINOCYL-TRNA-HYDROLASE-RXN	EC-3.1.1.29
QUEUOSINE-TRNA-RIBOSYLTRANSFERASE-RXN	EC-2.4.2.29
CARDIOLIPSYN-RXN	EC-2.7.8
6PFRUCTPHOS-RXN	EC-2.7.1.11
RXN-6642	EC-3.4.11.2
RXN0-5184	EC-2.4.1.1
HEMN-RXN	EC-1.3.99.22
ALDOSE-1-EPIMERASE-RXN	EC-5.1.3.3
ACNEULY-RXN	EC-4.1.3.3
RXN-13329	
RXN-8141	
3.4.11.2-RXN	EC-3.4.11.2
RXN-10015	
RXN-13616	EC-4.2.1.17
THI-P-SYN-RXN	EC-2.5.1.3
PEPDEPHOS-RXN	EC-2.7.1.40
RXN0-7024	EC-1.1.1
RXN-14056	
GLUCOSAMINE-6-P-DEAMIN-RXN	EC-3.5.99.6
HEXOKINASE-RXN	EC-2.7.1.1
3.4.21.87-RXN	EC-3.4.23.49
GALACTOKIN-RXN	EC-2.7.1.6
OXAMATE-CARBAMOYLTRANSFERASE-RXN	EC-2.1.3.5
RXN-4122	
NAG6PDEACET-RXN	EC-3.5.1.25
GLYOXII-RXN	EC-3.1.2.6
DIHYDROOROT-RXN	EC-3.5.2.3
GMP-SYN-NH3-RXN	EC-6.3.4.1
R165-RXN	EC-1.1.1.154
RXN-12754	
RXN-12171	EC-2.4.1.1
3.4.24.55-RXN	EC-3.4.24.55
RXN0-5305	
NAD-SYNTH-NH3-RXN	EC-6.3.1.5
UDP-NACMURALGLDAPAALIG-RXN	EC-6.3.2.10
RXN-2961	EC-4.4.1.22
LUMAZINESYN-RXN	EC-2.5.1.78
