bsu_id,bsu_desc,eco_id,eco_desc,pao_id,pao_desc,spn_id,spn_desc
"ytxG","conserved hypothetical protein",NA,NA,NA,NA,"SP_1411","orf"
"yisQ","putative Na+driven efflux transporter","yeeO","YeeO MATE transporter",NA,NA,"SP_2065","MATE efflux family protein"
"uxaB","tagaturonate reductase (altronate oxidoreductase)","uxaB","altronate oxidoreductase","mtlD","mannitol dehydrogenase",NA,NA
"yulF","enzyme involved in biofilm formation","ygjR","predicted NAD(P)-binding dehydrogenase",NA,NA,"SP_1482","Gfo/Idh/MocA family oxidoreductase"
"dxr","1-deoxy-D-xylulose-5-phosphate reductoisomerase","dxr","","dxr","1-deoxy-D-xylulose 5-phosphate reductoisomerase",NA,NA
"yisU","putative aminoacid related metabolite efflux transporter","argO","arginine export protein","PA4365","transporter",NA,NA
"opuCA","glycine betaine/carnitine/choline/choline sulfate ABC transporter (ATP-binding protein)","yehX","","PA3891","ATP-binding component of ABC transporter",NA,NA
"purD","phosphoribosylglycinamide synthetase","purD","phosphoribosylamine-glycine ligase","purD","phosphoribosylamine--glycine ligase","SP_0051","phosphoribosylamine--glycine ligase"
"acoL","acetoin dehydrogenase E3 component (dihydrolipoamide dehydrogenase)",NA,NA,NA,NA,"SP_1161","acetoin dehydrogenase complex, E3 component, dihydrolipoamide dehydrogenase"
"glxK","glycerate kinase","garK","glycerate kinase I","PA1052","orf","SP_1126","orf"
"gndA","NADP+-dependent 6-P-gluconate dehydrogenase","gnd","",NA,NA,"SP_0375","6-phosphogluconate dehydrogenase"
"pgk","phosphoglycerate kinase","pgk","phosphoglycerate kinase","pgk","phosphoglycerate kinase","pgk","phosphoglycerate kinase"
"yqeW","putative Na+/anion cotransporter","yjbB","putative inorganic phosphate export protein","PA5473","orf","SP_0496","Na/Pi cotransporter II-like protein"
"ahpC","alkyl hydroperoxide reductase (small subunit)","ahpC","alkyl hydroperoxide reductase, AhpC component","ahpC","alkyl hydroperoxide reductase subunit C",NA,NA
"ylmG","factor involved in shape determination","yggT","predicted inner membrane protein","PA0392","orf","SP_1663","orf"
"yqjE","putative deacylase",NA,NA,"cpg2","glutamate carboxypeptidase",NA,NA
"ytsP","conserved hypothetical protein","msrC","free methionine-","PA2822","orf","SP_0864","orf"
"rplV","ribosomal protein L22 (BL17)","rplV","50S ribosomal subunit protein L22","rplV","50S ribosomal protein L22","rplV","50S ribosomal protein L22"
"opuD","glycine betaine transporter","betT","choline:","PA5291","choline transporter",NA,NA
"lspA","signal peptidase II","lspA","prolipoprotein signal peptidase II","lspA","lipoprotein signal peptidase","SP_0928","lipoprotein signal peptidase"
"yodJ","D-alanyl-D-alanine carboxypeptidase lipoprotein",NA,NA,NA,NA,"SP_0629","orf"
"ykfB","L-Ala-D/L-Glu epimerase","ycjG","L-Ala-D/L-Glu epimerase","catB","muconate cycloisomerase I",NA,NA
"ycnE","conserved hypothetical protein","lsrG","Autoinducer 2-degrading protein","PA3566","orf",NA,NA
"metN","methionine ABC transporter, substrate binding lipoprotein","metQ","L-methionine / D-methionine ABC transporter - periplasmic binding protein","PA5505","TonB-dependent receptor","SP_0149","lipoprotein"
"rplNA","ribosomal protein L14","rplN","50S ribosomal subunit protein L14","rplN","50S ribosomal protein L14","rplN","50S ribosomal protein L14"
"crcBA","integral membrane protein possibly involved in chromosome condensation","crcB","",NA,NA,"SP_1294","camphor resistance protein CrcB"
"ydfJ","putative proton metabolite efflux transporter",NA,NA,"PA3079","orf",NA,NA
"tyrZ","tyrosyl-tRNA synthetase",NA,NA,"tyrZ","tyrosyl-tRNA synthetase",NA,NA
